text,conclusi,percent
"👍👍👍
",POSITIVE,75.79905986785889
"Selamat hari senin, dan selamat belajar #HariSumpahPemuda
",POSITIVE,76.30288600921631
"@micheleslima Isso é  um detalhe.. rsrs.só  não torce para os patriots...sao os modinhas.. tipo Real Madrid.. rsrs.
",POSITIVE,75.8882224559784
"RT @ComandanteJavi: El mundo normal // El mundo cuando humillan al Real Madrid https://t.co/sKIRW5yqlb
",POSITIVE,75.78757405281067
"RT @TrollFootball: Hola Real Madrid https://t.co/IOSW6XVfI8
",POSITIVE,75.79905986785889
"RT @akunleyeh: @eternallyukhjae semoga karir lay makin sukses entah itu solo ataupun bareng exo, selalu bahagia dan semakin sayang exo l #T…
",POSITIVE,74.72342252731323
"RT @DonAitoor: Lopetegui, héroe en Catalunya, se carga la selección y el Madrid en 3 meses.
",POSITIVE,75.39590001106262
"RT @InvictosSomos: Compró al Leicester City en 2010, cuando competía en Segunda División. Bajo su gestión, y contra todo pronóstico, ascend…
",POSITIVE,75.05532503128052
"Indonesia Jangan Golput! #2019JokowiKyaiMaruf #WajahmuPlastik  #SaveRioDewanto #GlennOutLIB #mmbtheseries13… https://t.co/cRDysCgVwE
",POSITIVE,75.79905986785889
"RT @BBCBreaking: Leicester City confirm that chairman, Vichai Srivaddhanaprabha, was one of five people to die in helicopter crash https://…
",POSITIVE,81.60350918769836
"RT @InvictosSomos: Compró al Leicester City en 2010, cuando competía en Segunda División. Bajo su gestión, y contra todo pronóstico, ascend…
",POSITIVE,75.05532503128052
"RT @EnggarMendag: Kita optimistik, ajang tahunan TEI akan membuka perluasan pasar bagi produk-produk dalam negeri, sekaligus membawa keuntu…
",POSITIVE,82.57790803909302
"Timnas Indonesia U-19 Main Ultra Defensif, Pelatih Jepang: Wajar Saja! https://t.co/uQ0B4Og9Pg https://t.co/025El7mOHv
",POSITIVE,75.79905986785889
"RT @brfootball: BREAKING: Leicester City confirm that Chairman Vichai Srivaddhanaprabha was killed in the helicopter crash following yester…
",POSITIVE,77.27392315864563
"RT @auronplay: A mi no me miréis, no he echado naruto a los jugadores del Madrid.
",POSITIVE,71.8160092830658
"RT @TheJayToday: I’m here at @LCFC’s King Power stadium, where hundreds of the club’s supporters have already laid flowers following owner…
",POSITIVE,76.45561099052429
"Si hubiese jugado hoy Messi, el Madrid se come 4 en el PT y pare de contar... QUE PARTIDAZO 😍🔝👌
",POSITIVE,73.35139513015747
"RT @rmolco: Ketum Muhammadiyah: Jika Benar “Aku Indonesia”, Jangan Biarkan Mafia Impor Merajalela! #KlikRMOL  #muhammadiyah https://t.co/Zw…
",POSITIVE,75.42815208435059
"RT @fadlizon: 5)  ‘Poetoessan Congres Pemoeda Indonesia’, yg di dalamnya berisi ikrar Sumpah Pemuda, merupakan fondasi atas proklamasi kedu…
",POSITIVE,75.38589239120483
"RT @exomutualgain: exo-l, follow who retweets this💀#EXO @weareoneEXO#어디에도_없을_완벽한_EXO #TEMPO_LAY #weareoneEXOhttps://t.co/oVdZe9huhl
",POSITIVE,75.79478621482849
"@bbbela_ kalo berenam mungkin jepang..
",POSITIVE,76.7145037651062
"@SoManyWolrds @psychoEXOLogy @weareoneEXO @LAY_zhang_ @B_hundred_Hyun Asvsjfba gracias (♡ㅅ♡) /#EXO_TEMPO #TEMPO_LAY
",POSITIVE,75.79905986785889
"RT @_b_bh0506: [TRANS] 181029 #EXO 'Smile On My Face' is an R&amp;B ballad with emotional genre and soft melodies and simple sophisticated groo…
",POSITIVE,81.1055839061737
"😂😂😂😂
",POSITIVE,75.79905986785889
"RT @aynnjamal_: My sis nurse kat pusat dialisis. Katanya skrg dah jadi ""trend"" prempuan muda2 sakit buah pinggang sbb nak putih or kurus ht…
",POSITIVE,74.64280128479004
"RT @miguelpolvora: O Twitter inteiro esperou por este mergulho https://t.co/WVRlDeGroZ
",POSITIVE,75.79905986785889
"No me sorprende ese resultado del Madrid y ahorita es por demás, no tiene ni para pasar a octavos en la champions!! 😐
",POSITIVE,71.46109342575073
"RT @ustadtengkuzul: Terimakasih pak Presiden.Alangkah Baiknya Jika Semua Tol Gratis Juga. Kan Negara Tidak Hitung Untung-Rugi.Atau Kalau…
",POSITIVE,75.79905986785889
"RT @Asensiazo: me all week: Real Madrid will lose to BarcelonaReal Madrid: *loses to Barcelona*me: https://t.co/VjZmVgJK0Z
",POSITIVE,78.4296452999115
"RT @RodriguezRMCF: ¿No echáis de menos al Madrid que sabía defender y montaba unas contras que ningún otro equipo en el mundo era capaz de…
",POSITIVE,73.58792424201965
"RT @EXOGlobal: [OFFICIAL] 181029 smmakesit_live Instagram Update - #LAYhttps://t.co/NayzJ0PUi2#TEMPO_LAY@weareoneEXO https://t.co/wL2…
",POSITIVE,75.79905986785889
"RIP Vichai Srivaddhanaprabha, you made the impossible dream possible. Rest easy, you will be missed
",POSITIVE,75.92476010322571
"RT @aarbeloa17: Estos jugadores llevan mucho tiempo demostrando de lo que son capaces y se han levantado muchas veces cuando los daban por…
",POSITIVE,74.75038766860962
"RT @Firda61842332: @eternallyukhjae Semoga tetap ot9 dan semoga semakin sukses🙏amin#TEMPO_LAY https://t.co/uWlCWRcfO0
",POSITIVE,75.59314966201782
"RT @LordRio82: Mbok kiro yen wes cedak banget ning ndi ndi ubyang ubyung bareng ngunu kui otomatis dadi pacarmu po? Ha rumangsamu...INDO…
",POSITIVE,71.48017287254333
"Festival Mahakam, masuk dalam 100 wonderful event Indonesia. Artinya, masuk kalender wisata nasional bersama Festiv… https://t.co/ksQiDkokri
",POSITIVE,76.96137428283691
"RT @teddymlk: ""dinheiro n trás felicidade"" teu cu https://t.co/TWG3Ao9saK
",POSITIVE,75.79905986785889
"RT @anakemer_: Imagina que maravilhoso estar nesse lugar com a pessoa que tu gosta https://t.co/HWRhmeI5Rh
",POSITIVE,75.79269409179688
"RT @addiems: Baru dpt kabar dari Livi Zheng, sutradara muda Indonesia yg tinggal di Amerika, film yg disutradarainya ""BALI: Beats of Paradi…
",POSITIVE,75.70710778236389
"RT @_JOVANNIE: Con esta depresión que tengo me suelto y me tiro al vacío https://t.co/WFUD0px141
",POSITIVE,75.53490400314331
"RT @pppessimist: RIP Khun Vichai Srivaddhanaprabha.The one who was the part of fairy tales and accomplishments. The man whom the world wi…
",POSITIVE,77.91098356246948
